full_path,filename,page_number,0,1,2,3,4,5,6
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,1,,ARTICLE,,,CUT,,TOTAL
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,1,POS,,QTY,DESCRIPTION,,WEIGHT,
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,1,,NUMBER,,,LENGTH,,WEIGHT
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,1,A,110146,1,"Assembly Group BG11-MS41-M10, DN 25",,0.32kg,0.32kg
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,1,,,,,,SUBTOTAL,0.32kg
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,1,1,161497,1,"Beam Section MS 41/41/2,5 x 220 HCP",220mm,0.52kg,0.52kg
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,1,2,177689,2,End Cap ADK 41/41,,0.01kg,0.02kg
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,1,3,183620,2,U-Holder SB 41 - M10,,0.41kg,0.82kg
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,1,,,,,,SUBTOTAL,1.36kg
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1ETX50BQ002-SU_0.0_Sikla_support_drawing.pdf,1,,,,,,TOTAL,1.68kg
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,1,,ARTICLE,,,CUT,,TOTAL
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,1,POS,,QTY,DESCRIPTION,,WEIGHT,
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,1,,NUMBER,,,LENGTH,,WEIGHT
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,1,A,110202,2,"Assembly Group BG14-F80-M10, DN 25",,0.4kg,0.8kg
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,1,B,110238,1,"Assembly Group BG22X-F80, DN25",,0.32kg,0.32kg
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,1,C,114658,1,Assembly Group BG52-DN25,,0.32kg,0.32kg
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,1,D,113107,1,Pipe Clamp Stabil Form C LK 49,,0.58kg,0.58kg
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,1,E,113919,1,Rod Hanger Load Chain Assembly LKV M10,,0.4kg,0.4kg
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,1,F,113023,1,siFramo Eye-Plate HP F 80 - A M10,,0.6kg,0.6kg
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,1,G,114842,1,Threaded Rod GST M10/1000 HCP,223mm,0.11kg,0.11kg
C:\Users\szil\Repos\excel_wizadry\support_dwg_bom_extractor\TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,TC021-INOV-1HBX10BQ008-SU_0.0_Sikla_support_drawing.pdf,1,,,,,,SUBTOTAL,3.13kg
